"time", "BouncingBall.h", "BouncingBall.v", "BouncingBall.der(h)", "BouncingBall.der(v)", "BouncingBall.ground"
0.45, 0.00894475, -4.4145, -4.4145, -9.81, 0
0.45, 0.00894475, -4.4145, -4.4145, -9.81, 0
0.46, 0.0250179445, 4.1530635, 4.1530635, -9.81, 0
0.46, 0.0250179445, 4.1530635, 4.1530635, -9.81, 0
0.47, 0.0661071295, 4.0549635, 4.0549635, -9.81, 0
0.47, 0.0661071295, 4.0549635, 4.0549635, -9.81, 0
0.48, 0.1062153145, 3.9568635, 3.9568635, -9.81, 0
0.48, 0.1062153145, 3.9568635, 3.9568635, -9.81, 0
0.49, 0.1453424995, 3.8587635, 3.8587635, -9.81, 0
0.49, 0.1453424995, 3.8587635, 3.8587635, -9.81, 0
0.5, 0.1834886845, 3.7606635, 3.7606635, -9.81, 0
0.5, 0.1834886845, 3.7606635, 3.7606635, -9.81, 0
0.51, 0.2206538695, 3.6625635, 3.6625635, -9.81, 0
0.51, 0.2206538695, 3.6625635, 3.6625635, -9.81, 0
0.52, 0.2568380545, 3.5644635, 3.5644635, -9.81, 0
0.52, 0.2568380545, 3.5644635, 3.5644635, -9.81, 0
0.53, 0.2920412395, 3.4663635, 3.4663635, -9.81, 0
0.53, 0.2920412395, 3.4663635, 3.4663635, -9.81, 0
0.54, 0.3262634245, 3.3682635, 3.3682635, -9.81, 0
0.54, 0.3262634245, 3.3682635, 3.3682635, -9.81, 0
0.55, 0.3595046095, 3.2701635, 3.2701635, -9.81, 0
0.55, 0.3595046095, 3.2701635, 3.2701635, -9.81, 0
0.56, 0.3917647945, 3.1720635, 3.1720635, -9.81, 0
0.56, 0.3917647945, 3.1720635, 3.1720635, -9.81, 0
0.57, 0.4230439795, 3.0739635, 3.0739635, -9.81, 0
0.57, 0.4230439795, 3.0739635, 3.0739635, -9.81, 0
0.58, 0.4533421645, 2.9758635, 2.9758635, -9.81, 0
0.58, 0.4533421645, 2.9758635, 2.9758635, -9.81, 0
0.59, 0.4826593495, 2.8777635, 2.8777635, -9.81, 0
0.59, 0.4826593495, 2.8777635, 2.8777635, -9.81, 0
0.6, 0.5109955345, 2.7796635, 2.7796635, -9.81, 0
0.6, 0.5109955345, 2.7796635, 2.7796635, -9.81, 0
0.61, 0.5383507195, 2.6815635, 2.6815635, -9.81, 0
0.61, 0.5383507195, 2.6815635, 2.6815635, -9.81, 0
0.62, 0.5647249045, 2.5834635, 2.5834635, -9.81, 0
0.62, 0.5647249045, 2.5834635, 2.5834635, -9.81, 0
0.63, 0.5901180895, 2.4853635, 2.4853635, -9.81, 0
0.63, 0.5901180895, 2.4853635, 2.4853635, -9.81, 0
0.64, 0.6145302745, 2.3872635, 2.3872635, -9.81, 0
0.64, 0.6145302745, 2.3872635, 2.3872635, -9.81, 0
